GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Javaslang,javaslang.test,Gen,35,399,1,29,9,78,7,54,6,40
Javaslang,javaslang.test,Property.Property5,40,390,0,10,0,50,8,23,8,18
Javaslang,javaslang.test,Property.Property6,50,429,0,10,0,53,10,25,10,20
Javaslang,javaslang.test,Property.Property3,20,312,0,10,0,44,4,19,4,14
Javaslang,javaslang.test,Property.Property4,30,351,0,10,0,47,6,21,6,16
Javaslang,javaslang.test,Property,0,266,0,4,0,28,0,19,0,17
Javaslang,javaslang.test,Property.Property1,0,234,0,10,0,38,0,15,0,10
Javaslang,javaslang.test,Property.Property2,10,273,0,10,0,41,2,17,2,12
Javaslang,javaslang.test,Arbitrary.new Iterator() {...},8,27,1,1,1,3,2,2,1,2
Javaslang,javaslang.test,Checkable,0,68,0,6,0,15,0,10,0,7
Javaslang,javaslang.test,Property.Condition,0,26,0,4,0,6,0,5,0,3
Javaslang,javaslang.test,CheckResult.Erroneous,1,183,8,18,0,30,8,19,0,14
Javaslang,javaslang.test,Property.Property7,60,468,0,10,0,56,12,27,12,22
Javaslang,javaslang.test,Property.Property8,70,507,0,10,0,59,14,29,14,24
Javaslang,javaslang.test,CheckResult,0,88,0,12,0,14,0,10,0,4
Javaslang,javaslang.test,Arbitrary,40,210,1,5,10,33,8,30,7,28
Javaslang,javaslang.test,Property.ForAll5,0,55,0,0,0,10,0,3,0,3
Javaslang,javaslang.test,Property.ForAll4,0,49,0,0,0,9,0,3,0,3
Javaslang,javaslang.test,Property.ForAll3,0,43,0,0,0,8,0,3,0,3
Javaslang,javaslang.test,Property.ForAll2,0,37,0,0,0,7,0,3,0,3
Javaslang,javaslang.test,Property.ForAll8,0,73,0,0,0,13,0,3,0,3
Javaslang,javaslang.test,Property.ForAll7,0,67,0,0,0,12,0,3,0,3
Javaslang,javaslang.test,Property.ForAll6,0,61,0,0,0,11,0,3,0,3
Javaslang,javaslang.test,Property.ForAll1,0,31,0,0,0,6,0,3,0,3
Javaslang,javaslang.test,Gen.new Object() {...},0,41,0,4,0,5,0,4,0,2
Javaslang,javaslang.test,CheckResult.Satisfied,0,113,2,8,0,21,2,15,0,12
Javaslang,javaslang.test,CheckResult.Falsified,0,113,2,8,0,22,2,15,0,12
Javaslang,javaslang.algebra,Foldable,0,90,0,0,0,15,0,8,0,8
Javaslang,javaslang.algebra,Monoid.new Monoid() {...},0,18,0,0,0,3,0,3,0,3
Javaslang,javaslang.algebra,Monad,0,431,0,0,0,43,0,51,0,51
Javaslang,javaslang.algebra,Monoid,0,14,0,0,0,3,0,2,0,2
Javaslang,javaslang.concurrent,PromiseImpl,22,14,0,0,2,5,2,3,2,3
Javaslang,javaslang.concurrent,FutureImpl,75,269,8,16,7,66,9,21,1,17
Javaslang,javaslang.concurrent,Promise,26,85,1,1,6,20,5,12,4,12
Javaslang,javaslang.concurrent,Future,64,813,7,29,14,173,9,89,5,75
Javaslang,javaslang.collection,RedBlackTreeModule.Node,95,1570,16,158,8,255,16,108,0,37
Javaslang,javaslang.collection,Map,35,166,2,2,5,28,5,18,4,17
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,14,0,0,0,3,0,3,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,30,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,18,0,0,0,5,0,3,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},2,5,0,0,1,2,1,2,1,2
Javaslang,javaslang.collection,HashArrayMappedTrieModule.ArrayNode,0,210,2,14,0,36,2,16,0,10
Javaslang,javaslang.collection,StreamModule.Combinations,0,33,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,StreamModule.StreamFactory,0,14,0,2,0,1,0,3,0,2
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,31,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,31,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,31,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,HashArrayMappedTrie,0,2,0,0,0,1,0,1,0,1
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,31,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,31,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,CharSeqModule.Combinations,0,34,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,RedBlackTree,8,305,3,25,1,58,2,28,0,16
Javaslang,javaslang.collection,Stream.Cons.SerializationProxy,0,64,0,6,0,19,0,7,0,4
Javaslang,javaslang.collection,Stream,0,1963,0,170,0,331,0,241,0,156
Javaslang,javaslang.collection,LinkedHashSet.SerializationProxy,5,71,1,7,1,19,1,7,0,4
Javaslang,javaslang.collection,Stream.Cons,0,142,0,22,0,39,0,21,0,10
Javaslang,javaslang.collection,Stack,0,189,0,2,0,49,0,31,0,30
Javaslang,javaslang.collection,TreeMap,108,1121,6,52,18,197,19,107,13,84
Javaslang,javaslang.collection,LinkedHashMap,34,972,3,63,6,202,6,113,3,83
Javaslang,javaslang.collection,HashArrayMappedTrieModule.AbstractNode,0,149,0,14,0,25,0,19,0,12
Javaslang,javaslang.collection,TreeModule.FlatMap,5,31,1,1,2,7,2,2,1,2
Javaslang,javaslang.collection,List,0,2356,0,260,0,472,0,263,0,133
Javaslang,javaslang.collection,Traversable.new AbstractIterator() {...},0,32,0,2,0,6,0,4,0,3
Javaslang,javaslang.collection,LinearSeq,0,93,0,14,0,28,0,12,0,5
Javaslang,javaslang.collection,VectorModule.Combinations,3,33,0,2,1,4,1,4,1,3
Javaslang,javaslang.collection,Tree.Order,5,53,0,0,0,5,1,3,1,3
Javaslang,javaslang.collection,HashSet.SerializationProxy,5,71,1,7,1,19,1,7,0,4
Javaslang,javaslang.collection,ListModule.Combinations,0,33,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,CharSeq.new AbstractIterator() {...},0,33,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,SortedSet,0,10,0,0,0,1,0,2,0,2
Javaslang,javaslang.collection,IteratorModule.ConcatIterator,0,32,0,4,0,8,0,5,0,3
Javaslang,javaslang.collection,Iterator,12,1334,3,141,4,299,3,175,1,105
Javaslang,javaslang.collection,HashArrayMappedTrieModule.LeafNode,0,93,0,6,0,14,0,6,0,3
Javaslang,javaslang.collection,Seq.new Object() {...},2,67,2,18,0,11,2,11,0,3
Javaslang,javaslang.collection,TreeModule.Zip,3,30,0,2,1,8,1,3,1,2
Javaslang,javaslang.collection,HashArrayMappedTrieModule.EmptyNode,0,35,0,2,0,11,0,11,0,10
Javaslang,javaslang.collection,Traversable,0,676,2,114,0,153,2,92,0,36
Javaslang,javaslang.collection,Stream.new Iterator() {...},0,44,0,4,0,7,0,5,0,3
Javaslang,javaslang.collection,Stream.new Iterator() {...},0,30,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,TreeModule.Unzip,3,106,0,0,1,14,1,9,1,9
Javaslang,javaslang.collection,StreamModule.StreamIterator,0,34,0,2,0,7,0,5,0,4
Javaslang,javaslang.collection,HashSet,43,1035,7,67,11,207,10,132,4,101
Javaslang,javaslang.collection,Tree.Node,12,208,1,17,0,38,1,24,0,16
Javaslang,javaslang.collection,HashArrayMappedTrieModule.IndexedNode,0,295,0,40,0,52,0,28,0,8
Javaslang,javaslang.collection,LinearSeqModule.LastIndexOfSlice,0,102,0,20,0,27,0,12,0,2
Javaslang,javaslang.collection,TreeModule.Map,3,21,0,0,1,3,1,2,1,2
Javaslang,javaslang.collection,CharSeq,3,2704,0,290,1,499,1,304,1,159
Javaslang,javaslang.collection,ArrayModule.Combinations,3,33,0,2,1,4,1,4,1,3
Javaslang,javaslang.collection,Tree.Empty,0,46,0,2,0,14,0,14,0,13
Javaslang,javaslang.collection,StreamModule.AppendSelf,0,39,0,2,0,7,0,5,0,4
Javaslang,javaslang.collection,IndexedSeq,0,221,0,40,0,53,0,28,0,8
Javaslang,javaslang.collection,Seq,0,199,1,21,0,39,1,28,0,18
Javaslang,javaslang.collection,IndexedSeq.new AbstractIterator() {...},0,29,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,Comparators,3,7,0,0,2,1,1,2,1,2
Javaslang,javaslang.collection,RedBlackTree.new AbstractIterator() {...},0,75,0,6,0,15,0,7,0,4
Javaslang,javaslang.collection,Set,13,8,0,0,3,1,2,1,2,1
Javaslang,javaslang.collection,HashArrayMappedTrieModule.LeafList,2,247,1,25,0,48,1,25,0,13
Javaslang,javaslang.collection,TreeModule.ZipAll,3,39,0,2,1,8,1,4,1,3
Javaslang,javaslang.collection,Array,2,2298,1,213,0,454,1,243,0,137
Javaslang,javaslang.collection,Stream.Empty,0,46,0,2,0,12,0,12,0,11
Javaslang,javaslang.collection,List.Nil,0,45,0,2,0,12,0,12,0,11
Javaslang,javaslang.collection,Tree.new Object() {...},4,29,0,0,0,1,0,1,0,1
Javaslang,javaslang.collection,Collections.new AbstractIterator() {...},0,33,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,TreeSet,60,1207,4,70,12,232,10,146,6,113
Javaslang,javaslang.collection,Vector,0,2435,0,254,0,459,0,259,0,132
Javaslang,javaslang.collection,AbstractIterator,2,31,1,3,0,5,1,4,0,3
Javaslang,javaslang.collection,LinkedHashSet,46,1055,8,74,12,214,11,134,4,100
Javaslang,javaslang.collection,Tree.Node.SerializationProxy,0,39,0,0,0,13,0,4,0,4
Javaslang,javaslang.collection,IteratorModule.DistinctIterator,0,61,0,8,0,17,0,7,0,3
Javaslang,javaslang.collection,Vector.new AbstractIterator() {...},0,44,0,2,0,5,0,4,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,71,0,8,0,12,0,7,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,37,0,4,0,5,0,5,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,61,0,6,0,10,0,6,0,3
Javaslang,javaslang.collection,Tree,31,753,2,81,5,165,5,111,3,70
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,60,0,10,0,13,0,8,0,3
Javaslang,javaslang.collection,TreeMap.EntryComparator,0,14,0,0,0,4,0,2,0,2
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,46,0,4,0,7,0,5,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,23,0,0,0,3,0,3,0,3
Javaslang,javaslang.collection,List.Cons,0,110,0,14,0,28,0,17,0,10
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,26,0,0,0,5,0,3,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,42,0,4,0,8,0,5,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,33,0,2,0,6,0,4,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,55,0,6,0,9,0,6,0,3
Javaslang,javaslang.collection,RedBlackTreeModule.Empty,1,49,1,3,0,16,1,15,0,14
Javaslang,javaslang.collection,SortedMap,11,0,0,0,1,0,2,0,2,0
Javaslang,javaslang.collection,HashArrayMappedTrieModule.LeafSingleton,0,93,0,8,0,19,0,13,0,9
Javaslang,javaslang.collection,HashArrayMappedTrieModule.Action,9,29,0,0,0,2,2,2,2,2
Javaslang,javaslang.collection,IndexedSeqModule.LastIndexOfSlice,0,79,0,20,0,25,0,12,0,2
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,83,0,10,0,13,0,8,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,61,0,8,0,9,0,7,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,67,0,8,0,9,0,7,0,3
Javaslang,javaslang.collection,HashMap,34,945,3,63,6,187,6,113,3,83
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,21,0,0,0,4,0,3,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,21,0,0,0,4,0,3,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,12,0,0,0,3,0,3,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,31,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,31,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,31,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,83,0,10,0,13,0,8,0,3
Javaslang,javaslang.collection,Queue,26,1752,3,137,3,302,4,197,1,130
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,29,0,0,0,4,0,3,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,42,0,4,0,7,0,5,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,64,0,8,0,8,0,7,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,50,0,8,0,11,0,7,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,50,0,6,0,11,0,6,0,3
Javaslang,javaslang.collection,ListModule.SplitAt,0,29,0,4,0,7,0,3,0,1
Javaslang,javaslang.collection,RedBlackTree.Color,5,40,0,2,0,3,1,5,1,4
Javaslang,javaslang.collection,TreeModule.Replace,3,53,0,8,1,10,1,5,1,1
Javaslang,javaslang.collection,Collections,8,253,1,19,2,49,2,26,1,17
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,27,0,0,0,6,0,3,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,11,0,0,0,3,0,3,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,35,0,2,0,8,0,4,0,3
Javaslang,javaslang.collection,StreamModule.DropRight,0,32,0,4,0,6,0,4,0,2
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,32,0,4,0,3,0,5,0,3
Javaslang,javaslang.collection,Iterator.new AbstractIterator() {...},0,56,0,8,0,5,0,7,0,3
Javaslang,javaslang.collection,TreeModule.Traversal,3,91,0,4,1,23,1,9,1,7
Javaslang,javaslang.collection,Array.new AbstractIterator() {...},0,32,0,2,0,4,0,4,0,3
Javaslang,javaslang.collection,List.Cons.SerializationProxy,0,65,0,6,0,19,0,7,0,4
Javaslang,javaslang.collection,HashArrayMappedTrieModule.LeafList.new AbstractIterator() {...},0,41,0,4,0,8,0,5,0,3
Javaslang,javaslang,ValueModule,12,28,2,6,2,8,2,4,0,2
Javaslang,javaslang,Function3.Type,0,19,0,0,0,5,0,4,0,4
Javaslang,javaslang,λ,4,94,4,14,2,17,4,8,0,3
Javaslang,javaslang,λ.Type,0,108,2,8,0,20,2,11,0,8
Javaslang,javaslang,Function1.Type,0,9,0,0,0,3,0,2,0,2
Javaslang,javaslang,CheckedFunction0.Type,0,4,0,0,0,2,0,1,0,1
Javaslang,javaslang,Lazy,36,156,7,15,8,34,6,23,2,16
Javaslang,javaslang,CheckedFunction2.Type,0,14,0,0,0,4,0,3,0,3
Javaslang,javaslang,CheckedFunction7.Type,0,39,0,0,0,9,0,8,0,8
Javaslang,javaslang,CheckedFunction6.Type,0,34,0,0,0,8,0,7,0,7
Javaslang,javaslang,Function5.Type,0,29,0,0,0,7,0,6,0,6
Javaslang,javaslang,Function2.Type,0,14,0,0,0,4,0,3,0,3
Javaslang,javaslang,CheckedFunction1.Type,0,9,0,0,0,3,0,2,0,2
Javaslang,javaslang,CheckedFunction8,190,154,0,2,0,26,19,21,19,20
Javaslang,javaslang,CheckedFunction7,158,141,0,2,0,25,17,20,17,19
Javaslang,javaslang,Function8,130,207,0,2,0,26,11,27,11,26
Javaslang,javaslang,CheckedFunction0,16,48,0,2,0,12,4,11,4,10
Javaslang,javaslang,CheckedFunction2,43,91,0,2,0,20,7,15,7,14
Javaslang,javaslang,CheckedFunction1,32,104,0,4,0,24,5,18,5,16
Javaslang,javaslang,CheckedFunction4,80,108,0,2,0,22,11,17,11,16
Javaslang,javaslang,CheckedFunction3.Type,0,19,0,0,0,5,0,4,0,4
Javaslang,javaslang,CheckedFunction3,60,99,0,2,0,21,9,16,9,15
Javaslang,javaslang,CheckedFunction6,129,129,0,2,0,24,15,19,15,18
Javaslang,javaslang,CheckedFunction5,103,118,0,2,0,23,13,18,13,17
Javaslang,javaslang,Tuple,0,70,0,0,0,9,0,9,0,9
Javaslang,javaslang,Function1,32,89,0,4,0,24,5,16,5,14
Javaslang,javaslang,Function0,16,46,0,2,0,13,4,11,4,10
Javaslang,javaslang,Function3,45,107,0,2,0,21,6,17,6,16
Javaslang,javaslang,Function2,34,93,0,2,0,20,5,15,5,14
Javaslang,javaslang,Function5,73,141,0,2,0,23,8,21,8,20
Javaslang,javaslang,Function4.Type,0,24,0,0,0,6,0,5,0,5
Javaslang,javaslang,Function4,58,123,0,2,0,22,7,19,7,18
Javaslang,javaslang,Function7,109,183,0,2,0,25,10,25,10,24
Javaslang,javaslang,Function6,90,161,0,2,0,24,9,23,9,22
Javaslang,javaslang,Function6.Type,0,34,0,0,0,8,0,7,0,7
Javaslang,javaslang,Function0.Type,0,4,0,0,0,2,0,1,0,1
Javaslang,javaslang,Tuple0,0,45,0,2,0,15,0,14,0,13
Javaslang,javaslang,Tuple1,0,106,0,8,0,29,0,17,0,13
Javaslang,javaslang,Tuple2,0,177,0,16,0,39,0,23,0,15
Javaslang,javaslang,Tuple3,0,233,0,22,0,48,0,27,0,16
Javaslang,javaslang,Tuple4,0,289,0,28,0,57,0,31,0,17
Javaslang,javaslang,Tuple5,0,345,0,34,0,66,0,35,0,18
Javaslang,javaslang,Tuple6,0,401,0,40,0,75,0,39,0,19
Javaslang,javaslang,Tuple7,0,457,0,46,0,84,0,43,0,20
Javaslang,javaslang,Tuple8,0,513,0,52,0,93,0,47,0,21
Javaslang,javaslang,CheckedFunction8.Type,0,44,0,0,0,10,0,9,0,9
Javaslang,javaslang,CheckedFunction5.Type,0,29,0,0,0,7,0,6,0,6
Javaslang,javaslang,Function8.Type,0,44,0,0,0,10,0,9,0,9
Javaslang,javaslang,Function7.Type,0,39,0,0,0,9,0,8,0,8
Javaslang,javaslang,Lazy.Undefined,0,45,0,2,0,12,0,12,0,11
Javaslang,javaslang,CheckedFunction4.Type,0,24,0,0,0,6,0,5,0,5
Javaslang,javaslang,Lazy.Defined,0,100,0,14,0,19,0,16,0,9
Javaslang,javaslang,λModule.ReflectionUtil,3,33,0,0,1,7,1,3,1,3
Javaslang,javaslang,Value,48,609,9,87,11,118,9,92,1,52
Javaslang,javaslang.control,Match.MatchFunction.WhenUntyped,0,102,0,0,0,20,0,12,0,12
Javaslang,javaslang.control,Try.CheckedPredicate,11,0,2,0,1,0,3,0,2,0
Javaslang,javaslang.control,Match,0,163,0,0,0,33,0,19,0,19
Javaslang,javaslang.control,Match.SerializableConsumer,41,0,2,0,10,0,10,0,9,0
Javaslang,javaslang.control,Either.Right,5,51,1,5,1,10,2,10,1,8
Javaslang,javaslang.control,Try.NonFatalException,1,83,5,15,0,15,5,10,0,5
Javaslang,javaslang.control,Either.Left,5,51,1,5,1,10,2,10,1,8
Javaslang,javaslang.control,Match.MatchMonad.Otherwise,63,76,9,3,14,15,9,9,3,9
Javaslang,javaslang.control,Match.MatchFunction.Then,0,161,0,0,0,26,0,18,0,18
Javaslang,javaslang.control,Match.MatchFunction.Effect.Otherwise,0,38,0,0,0,9,0,5,0,5
Javaslang,javaslang.control,Either.LeftProjection,64,215,8,28,14,47,10,31,5,18
Javaslang,javaslang.control,Match.MatchMonad.Effect.When,3,56,0,10,0,12,1,8,1,3
Javaslang,javaslang.control,Validation.Invalid,0,51,1,5,0,10,1,10,0,8
Javaslang,javaslang.control,Try.Failure,0,64,1,5,0,13,1,12,0,10
Javaslang,javaslang.control,Match.SerializableConsumer.Type,9,0,0,0,3,0,2,0,2,0
Javaslang,javaslang.control,Try.Success,0,58,1,5,0,12,1,12,0,10
Javaslang,javaslang.control,Validation,0,417,2,22,0,95,2,27,0,17
Javaslang,javaslang.control,Match.MatchFunction.Effect.WhenApplicable,81,0,0,0,10,0,7,0,7,0
Javaslang,javaslang.control,Try.FatalException,1,38,3,3,0,6,3,4,0,4
Javaslang,javaslang.control,Match.MatchMonad.Of,51,133,0,0,8,27,7,10,7,10
Javaslang,javaslang.control,Match.SerializablePredicate.Type,0,9,0,0,0,3,0,2,0,2
Javaslang,javaslang.control,Validation.Builder7,0,69,0,0,0,11,0,3,0,3
Javaslang,javaslang.control,Validation.Builder6,0,61,0,0,0,10,0,3,0,3
Javaslang,javaslang.control,Match.MatchMonad.When,12,53,0,0,2,12,2,6,2,6
Javaslang,javaslang.control,Validation.Builder8,0,55,0,0,0,11,0,2,0,2
Javaslang,javaslang.control,Validation.Builder3,0,37,0,0,0,7,0,3,0,3
Javaslang,javaslang.control,Validation.Builder5,0,53,0,0,0,9,0,3,0,3
Javaslang,javaslang.control,Validation.Builder4,0,45,0,0,0,8,0,3,0,3
Javaslang,javaslang.control,Match.MatchFunction.Effect.When,4,80,0,0,2,14,1,6,1,6
Javaslang,javaslang.control,Match.MatchFunction.WhenApplicable,0,75,0,0,0,8,0,6,0,6
Javaslang,javaslang.control,MatchError,2,25,1,1,0,4,1,2,0,2
Javaslang,javaslang.control,Try,77,371,7,41,17,82,10,53,6,33
Javaslang,javaslang.control,Either,83,181,14,16,21,41,14,22,6,15
Javaslang,javaslang.control,Validation.Builder,0,29,0,0,0,6,0,3,0,3
Javaslang,javaslang.control,Match.MatchFunction.When,0,60,0,0,0,12,0,8,0,8
Javaslang,javaslang.control,Match.MatchMonad.WhenUntyped,0,93,0,2,0,19,0,12,0,11
Javaslang,javaslang.control,Match.MatchMonad.Effect.Then,94,83,3,7,16,17,10,11,8,8
Javaslang,javaslang.control,Match.MatchMonad,24,0,0,0,7,0,5,0,5,0
Javaslang,javaslang.control,MatchModule,0,101,2,18,0,10,2,22,0,14
Javaslang,javaslang.control,Match.MatchFunction.Otherwise,0,36,0,0,0,8,0,5,0,5
Javaslang,javaslang.control,Match.MatchFunction.Case,0,19,0,0,0,6,0,3,0,3
Javaslang,javaslang.control,Either.RightProjection,64,165,8,14,14,37,10,24,5,18
Javaslang,javaslang.control,Match.MatchMonad.Effect.WhenApplicable,72,0,12,0,13,0,9,0,3,0
Javaslang,javaslang.control,Match.MatchMonad.WhenApplicable,26,47,0,4,4,8,2,4,2,2
Javaslang,javaslang.control,Option.Some,0,55,1,5,0,10,1,10,0,8
Javaslang,javaslang.control,Option,51,193,7,31,12,42,9,32,5,17
Javaslang,javaslang.control,Match.SerializablePredicate,37,6,2,0,7,1,9,1,8,1
Javaslang,javaslang.control,Validation.Valid,0,51,1,5,0,10,1,10,0,8
Javaslang,javaslang.control,Option.None,0,31,0,2,0,10,0,10,0,9
Javaslang,javaslang.control,Match.MatchFunction.Effect.Then,55,95,0,0,9,20,5,11,5,11
Javaslang,javaslang.control,Match.MatchMonad.Then,74,336,7,11,14,48,8,39,4,34
